application_id,ai_decision,customer_type,human_decision,human_rule_reasons
APP_0001,approved,bank,denied,NO
APP_0002,denied,bank,denied,
APP_0003,approved,bank,approved,
APP_0004,denied,bank,denied,
APP_0005,approved,non-bank,approved,
APP_0006,approved,bank,approved,
APP_0007,denied,bank,denied,
APP_0008,approved,bank,approved,
APP_0009,denied,non-bank,denied,
APP_0010,denied,bank,denied,
APP_0011,approved,bank,approved,
APP_0012,approved,bank,approved,
APP_0013,denied,bank,denied,
APP_0014,denied,bank,denied,
APP_0015,denied,bank,denied,
APP_0016,approved,non-bank,approved,
APP_0017,denied,bank,denied,
APP_0018,denied,non-bank,denied,
APP_0019,approved,bank,approved,
APP_0020,denied,bank,denied,
APP_0021,denied,bank,denied,
APP_0022,denied,bank,denied,
APP_0023,denied,bank,denied,
APP_0024,denied,bank,denied,
APP_0025,denied,bank,denied,
APP_0026,approved,non-bank,approved,
APP_0027,approved,bank,approved,
APP_0028,denied,non-bank,denied,
APP_0029,approved,non-bank,approved,
APP_0030,denied,bank,denied,
APP_0031,denied,bank,denied,
APP_0032,approved,bank,approved,
APP_0033,approved,bank,approved,
APP_0034,approved,bank,approved,
APP_0035,approved,bank,approved,
APP_0036,approved,non-bank,approved,
APP_0037,denied,non-bank,denied,
APP_0038,denied,bank,denied,
APP_0039,denied,non-bank,denied,
APP_0040,denied,bank,denied,
APP_0041,denied,bank,denied,
APP_0042,approved,bank,approved,
APP_0043,approved,bank,approved,
APP_0044,denied,bank,denied,
APP_0045,approved,bank,approved,
APP_0046,approved,bank,approved,
APP_0047,approved,bank,approved,
APP_0048,denied,non-bank,denied,
APP_0049,approved,bank,approved,
APP_0050,denied,non-bank,denied,
APP_0051,approved,non-bank,approved,
APP_0052,denied,non-bank,denied,
APP_0053,approved,bank,approved,
APP_0054,denied,bank,denied,
APP_0055,denied,bank,denied,
APP_0056,approved,bank,approved,
APP_0057,denied,bank,denied,
APP_0058,denied,bank,denied,
APP_0059,denied,non-bank,denied,
APP_0060,approved,non-bank,approved,
APP_0061,approved,bank,approved,
APP_0062,approved,bank,approved,
APP_0063,denied,bank,denied,
APP_0064,denied,bank,denied,
APP_0065,denied,bank,denied,
APP_0066,denied,bank,denied,
APP_0067,approved,bank,approved,
APP_0068,approved,bank,approved,
APP_0069,denied,non-bank,denied,
APP_0070,approved,bank,approved,
APP_0071,denied,non-bank,denied,
APP_0072,denied,bank,denied,
APP_0073,denied,bank,denied,
APP_0074,denied,non-bank,denied,
APP_0075,denied,non-bank,denied,
APP_0076,approved,non-bank,approved,
APP_0077,denied,non-bank,denied,
APP_0078,denied,bank,denied,
APP_0079,approved,bank,approved,
APP_0080,denied,bank,denied,
APP_0081,denied,bank,denied,
APP_0082,approved,bank,approved,
APP_0083,denied,bank,denied,
APP_0084,denied,non-bank,denied,
APP_0085,approved,non-bank,approved,
APP_0086,approved,non-bank,approved,
APP_0087,approved,bank,approved,
APP_0088,approved,bank,approved,
APP_0089,denied,non-bank,denied,
APP_0090,denied,bank,denied,
APP_0091,denied,non-bank,denied,
APP_0092,denied,bank,denied,
APP_0093,denied,bank,denied,
APP_0094,approved,bank,approved,
APP_0095,denied,bank,denied,
APP_0096,approved,bank,approved,
APP_0097,denied,bank,denied,
APP_0098,denied,non-bank,denied,
APP_0099,approved,non-bank,approved,
APP_0100,approved,bank,approved,
APP_0101,denied,bank,denied,
APP_0102,approved,bank,approved,
APP_0103,denied,non-bank,denied,
APP_0104,approved,bank,approved,
APP_0105,approved,bank,approved,
APP_0106,denied,bank,denied,
APP_0107,denied,bank,denied,
APP_0108,denied,non-bank,denied,
APP_0109,denied,non-bank,denied,
APP_0110,denied,bank,denied,
APP_0111,denied,bank,denied,
APP_0112,denied,non-bank,denied,
APP_0113,approved,bank,approved,
APP_0114,denied,bank,denied,
APP_0115,approved,non-bank,approved,
APP_0116,approved,bank,approved,
APP_0117,approved,bank,approved,
APP_0118,approved,bank,approved,
APP_0119,denied,bank,denied,
APP_0120,denied,bank,denied,
APP_0121,denied,bank,denied,
APP_0122,denied,bank,denied,
APP_0123,approved,non-bank,approved,
APP_0124,approved,bank,approved,
APP_0125,approved,non-bank,approved,
APP_0126,approved,bank,approved,
APP_0127,denied,bank,denied,
APP_0128,denied,non-bank,denied,
APP_0129,denied,non-bank,denied,
APP_0130,denied,bank,denied,
APP_0131,denied,non-bank,denied,
APP_0132,denied,bank,denied,
APP_0133,denied,bank,denied,
APP_0134,denied,bank,denied,
APP_0135,denied,bank,denied,
APP_0136,denied,non-bank,denied,
APP_0137,approved,bank,approved,
APP_0138,denied,bank,denied,
APP_0139,denied,bank,denied,
APP_0140,approved,non-bank,approved,
APP_0141,denied,bank,denied,
APP_0142,denied,bank,denied,
APP_0143,denied,bank,denied,
APP_0144,denied,bank,denied,
APP_0145,denied,bank,denied,
APP_0146,denied,non-bank,denied,
APP_0147,denied,bank,denied,
APP_0148,denied,bank,denied,
APP_0149,approved,bank,approved,
APP_0150,approved,non-bank,approved,
APP_0151,denied,bank,denied,
APP_0152,approved,bank,approved,
APP_0153,denied,non-bank,denied,
APP_0154,denied,bank,denied,
APP_0155,approved,non-bank,approved,
APP_0156,approved,bank,approved,
APP_0157,approved,non-bank,approved,
APP_0158,denied,bank,denied,
APP_0159,denied,bank,denied,
APP_0160,denied,bank,denied,
APP_0161,denied,non-bank,denied,
APP_0162,approved,bank,approved,
APP_0163,approved,non-bank,approved,
APP_0164,approved,non-bank,approved,
APP_0165,approved,bank,approved,
APP_0166,approved,bank,approved,
APP_0167,approved,bank,approved,
APP_0168,denied,bank,denied,
APP_0169,approved,bank,approved,
APP_0170,approved,bank,approved,
APP_0171,denied,non-bank,denied,
APP_0172,denied,bank,denied,
APP_0173,denied,non-bank,denied,
APP_0174,denied,bank,denied,
APP_0175,approved,non-bank,approved,
APP_0176,approved,non-bank,approved,
APP_0177,denied,bank,denied,
APP_0178,denied,bank,denied,
APP_0179,denied,bank,denied,
APP_0180,approved,bank,approved,
APP_0181,approved,bank,approved,
APP_0182,denied,bank,denied,
APP_0183,denied,bank,denied,
APP_0184,denied,bank,denied,
APP_0185,approved,bank,approved,
APP_0186,approved,bank,approved,
APP_0187,approved,bank,approved,
APP_0188,denied,non-bank,denied,
APP_0189,denied,bank,denied,
APP_0190,approved,non-bank,approved,
APP_0191,denied,bank,denied,
APP_0192,denied,non-bank,denied,
APP_0193,denied,non-bank,denied,
APP_0194,approved,bank,approved,
APP_0195,denied,non-bank,denied,
APP_0196,denied,non-bank,denied,
APP_0197,denied,bank,denied,
APP_0198,denied,bank,denied,
APP_0199,denied,non-bank,denied,
APP_0200,denied,bank,denied,
